('202.143.95.26', '17/May/2015:10:05:05 +0000', 'GET', '/downloads/product_2', '404', '325')
('54.86.157.236', '17/May/2015:10:05:02 +0000', 'GET', '/downloads/product_1', '404', '341')
('80.91.33.133', '17/May/2015:10:05:51 +0000', 'GET', '/downloads/product_1', '404', '341')
('80.91.33.133', '17/May/2015:10:05:47 +0000', 'GET', '/downloads/product_1', '404', '340')
('92.50.100.22', '17/May/2015:10:05:15 +0000', 'GET', '/downloads/product_2', '304', '0')
('80.91.33.133', '17/May/2015:10:05:08 +0000', 'GET', '/downloads/product_1', '404', '340')
('5.83.131.103', '17/May/2015:10:05:05 +0000', 'GET', '/downloads/product_1', '404', '340')
('80.91.33.133', '17/May/2015:10:05:04 +0000', 'GET', '/downloads/product_1', '304', '0')
('80.91.33.133', '17/May/2015:10:05:11 +0000', 'GET', '/downloads/product_1', '304', '0')
('178.32.54.253', '17/May/2015:10:05:54 +0000', 'GET', '/downloads/product_1', '304', '0')
('54.86.157.236', '17/May/2015:10:05:51 +0000', 'GET', '/downloads/product_1', '404', '339')
('31.22.86.126', '17/May/2015:10:05:18 +0000', 'GET', '/downloads/product_1', '404', '332')
('91.121.161.213', '17/May/2015:10:05:48 +0000', 'GET', '/downloads/product_2', '404', '339')
('50.57.209.92', '17/May/2015:10:05:19 +0000', 'GET', '/downloads/product_1', '404', '333')
('144.76.117.56', '17/May/2015:10:05:31 +0000', 'GET', '/downloads/product_1', '304', '0')
('62.210.138.59', '17/May/2015:10:05:45 +0000', 'GET', '/downloads/product_2', '304', '0')
('62.75.198.179', '17/May/2015:10:05:14 +0000', 'GET', '/downloads/product_2', '404', '338')
('144.76.117.56', '17/May/2015:10:05:18 +0000', 'GET', '/downloads/product_1', '404', '324')
('91.194.188.90', '17/May/2015:10:05:05 +0000', 'HEAD', '/downloads/product_2', '200', '0')
('54.86.157.236', '17/May/2015:10:05:48 +0000', 'GET', '/downloads/product_1', '404', '336')
('93.180.71.3', '17/May/2015:10:05:22 +0000', 'GET', '/downloads/product_1', '404', '333')
